投票时间,人员,单选
2024-08-07 20:39:19,"[{""id"": ""ou_505b19e7709e3129a50735e31d7d2586"", ""name"": ""Guest User 87975""}]",14
2024-08-07 20:39:23,"[{""id"": ""ou_505b19e7709e3129a50735e31d7d2586"", ""name"": ""Guest User 87975""}]",14
2024-08-07 20:39:28,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",16
2024-08-07 20:39:29,"[{""id"": ""ou_505b19e7709e3129a50735e31d7d2586"", ""name"": ""Guest User 87975""}]",14
2024-08-07 20:39:29,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",15
2024-08-07 20:39:29,"[{""id"": ""ou_ea43764dc78f3f3fd68b3a41a8a1e763"", ""name"": ""阿鱼""}]",18
2024-08-07 20:39:36,"[{""id"": ""ou_552998446204c8b676a4b6abf285c8cd"", ""name"": ""AJ""}]",2
2024-08-07 20:39:37,"[{""id"": ""ou_ea43764dc78f3f3fd68b3a41a8a1e763"", ""name"": ""阿鱼""}]",15
2024-08-07 20:39:37,"[{""id"": ""ou_8fbd27dbe7588b6475fa8d187a6301a8"", ""name"": ""limaomao""}]",23
2024-08-07 20:39:38,"[{""id"": ""ou_266e20f0ba367f869ca9803952a17e60"", ""name"": ""李野""}]",18
2024-08-07 20:39:39,"[{""id"": ""ou_8fbd27dbe7588b6475fa8d187a6301a8"", ""name"": ""limaomao""}]",24
2024-08-07 20:39:40,"[{""id"": ""ou_603769244a22a8d40f89ff349992c2f1"", ""name"": ""PIKA""}]",14
2024-08-07 20:39:40,"[{""id"": ""ou_29005a01d62cede6bfad372365ede0e0"", ""name"": ""Larkspur""}]",4
2024-08-07 20:39:41,"[{""id"": ""ou_552998446204c8b676a4b6abf285c8cd"", ""name"": ""AJ""}]",24
2024-08-07 20:39:41,"[{""id"": ""ou_f7f692c26db3f83dceaaf2d24eee6aa2"", ""name"": ""陈昶佳""}]",11
2024-08-07 20:39:42,"[{""id"": ""ou_69034f3286011a212f5d34665d50104e"", ""name"": ""LZQ""}]",22
2024-08-07 20:39:44,"[{""id"": ""ou_603769244a22a8d40f89ff349992c2f1"", ""name"": ""PIKA""}]",14
2024-08-07 20:39:44,"[{""id"": ""ou_a6291e0bd70988c4188ad2e7fec4dd62"", ""name"": ""许键""}]",23
2024-08-07 20:39:45,"[{""id"": ""ou_bd3219faf6a9ca9780899b945d70460a"", ""name"": ""陈东""}]",22
2024-08-07 20:39:49,"[{""id"": ""ou_a6291e0bd70988c4188ad2e7fec4dd62"", ""name"": ""许键""}]",24
