投票时间,人员,单选
2024-08-01 20:26:48,"[{""id"": ""ou_c0538d4de7e3767238146e14eefc047f"", ""name"": ""Defang""}]",43
2024-08-01 20:26:49,"[{""id"": ""ou_de8aaa94bd3451d75c4ccea37801f91b"", ""name"": ""飞书用户9349PQ""}]",43
2024-08-01 20:26:49,"[{""id"": ""ou_e3e6767db2f76ddbacfe59f754969d44"", ""name"": ""jump""}]",100
2024-08-01 20:26:52,"[{""id"": ""ou_e3e6767db2f76ddbacfe59f754969d44"", ""name"": ""jump""}]",43
2024-08-01 20:26:53,"[{""id"": ""ou_c6f6eb6063775127b6cdb0e9ba4571d0"", ""name"": ""扬歌行""}]",151
2024-08-01 20:26:53,"[{""id"": ""ou_e3e6767db2f76ddbacfe59f754969d44"", ""name"": ""jump""}]",51
2024-08-01 20:26:53,"[{""id"": ""ou_f1b946ca61447a41ff37f20df59f7319"", ""name"": ""郑洪英""}]",100
2024-08-01 20:26:55,"[{""id"": ""ou_e3e6767db2f76ddbacfe59f754969d44"", ""name"": ""jump""}]",145
2024-08-01 20:26:55,"[{""id"": ""ou_25cde48d5f25a2073e9954745fbf29cb"", ""name"": ""陈Sir""}]",43
2024-08-01 20:26:56,"[{""id"": ""ou_c0538d4de7e3767238146e14eefc047f"", ""name"": ""Defang""}]",145
2024-08-01 20:26:58,"[{""id"": ""ou_c6f6eb6063775127b6cdb0e9ba4571d0"", ""name"": ""扬歌行""}]",43
2024-08-01 20:26:59,"[{""id"": ""ou_bdec361d475b188b574cde7cea87b054"", ""name"": ""甘展诚""}]",100
2024-08-01 20:27:00,"[{""id"": ""ou_e3e6767db2f76ddbacfe59f754969d44"", ""name"": ""jump""}]",132
2024-08-01 20:27:01,"[{""id"": ""ou_60b195ea654e03398312b2753ddbfb01"", ""name"": ""梁小薇""}]",43
2024-08-01 20:27:01,"[{""id"": ""ou_f1b946ca61447a41ff37f20df59f7319"", ""name"": ""郑洪英""}]",51
2024-08-01 20:27:01,"[{""id"": ""ou_c6f6eb6063775127b6cdb0e9ba4571d0"", ""name"": ""扬歌行""}]",51
2024-08-01 20:27:01,"[{""id"": ""ou_4b2151ceaee32296b678d2b88fc703ce"", ""name"": ""罗骏""}]",43
2024-08-01 20:27:04,"[{""id"": ""ou_4a72183c75520ae799ab01dd62ea29e7"", ""name"": ""小鱿鱼""}]",100
